memberId,artistKey,score
member-105,artist_zettai_chokkyuu_joshi_playballs,1
member-106,artist_leiwan,2
member-106,artist_zerokara_start,1
member-106,artist_eisei_to_karate,1
member-106,artist_pimms,1
member-106,artist_momoiro_clover_z,1
member-106,artist_shiritsu_ebisu_chugaku,1
member-106,artist_zettai_chokkyuu_joshi_playballs,1
member-107,artist_leiwan,2
member-107,artist_zerokara_start,1
member-107,artist_eisei_to_karate,1
member-107,artist_pimms,1
member-107,artist_momoiro_clover_z,1
member-107,artist_shiritsu_ebisu_chugaku,1
member-107,artist_zettai_chokkyuu_joshi_playballs,1
member-108,artist_leiwan,2
member-108,artist_zerokara_start,1
member-108,artist_eisei_to_karate,1
member-108,artist_pimms,1
member-108,artist_momoiro_clover_z,1
member-108,artist_shiritsu_ebisu_chugaku,1
member-108,artist_zettai_chokkyuu_joshi_playballs,1
member-109,artist_leiwan,2
member-109,artist_zerokara_start,1
member-109,artist_eisei_to_karate,1
member-109,artist_pimms,1
member-109,artist_momoiro_clover_z,1
member-109,artist_shiritsu_ebisu_chugaku,1
member-109,artist_zettai_chokkyuu_joshi_playballs,1
member-110,artist_phantom_siita,3
member-110,artist_avam,1
member-110,artist_mad_medicine,1
member-110,artist_mazari,1
member-111,artist_phantom_siita,3
member-111,artist_avam,1
member-111,artist_mad_medicine,1
member-111,artist_mazari,1
member-112,artist_phantom_siita,3
member-112,artist_avam,1
member-112,artist_mad_medicine,1
member-112,artist_mazari,1
member-113,artist_phantom_siita,3
member-113,artist_avam,1
member-113,artist_mad_medicine,1
member-113,artist_mazari,1
member-114,artist_phantom_siita,3
member-114,artist_avam,1
member-114,artist_mad_medicine,1
member-114,artist_mazari,1
member-115,artist_jiemei,2
member-115,artist_ringwanderung,1
member-115,artist_aibeck,2
member-115,artist_bish,1
member-116,artist_jiemei,2
member-116,artist_ringwanderung,1
member-116,artist_aibeck,2
member-116,artist_bish,1
member-117,artist_jiemei,2
member-117,artist_ringwanderung,1
member-117,artist_aibeck,2
member-117,artist_bish,1
member-118,artist_jiemei,2
member-118,artist_ringwanderung,1
member-118,artist_aibeck,2
member-118,artist_bish,1
member-119,artist_neo_japonism,3
member-119,artist_tenrin,1
member-119,artist_planck_stars,1
member-120,artist_neo_japonism,3
member-120,artist_tenrin,1
member-120,artist_planck_stars,1
member-123,artist_zerokara_start,2
member-123,artist_planck_stars,2
member-123,artist_ilife,1
member-123,artist_yurumerumo,1
member-124,artist_zerokara_start,2
member-124,artist_planck_stars,2
member-124,artist_ilife,1
member-124,artist_yurumerumo,1
member-125,artist_zerokara_start,2
member-125,artist_planck_stars,2
member-125,artist_ilife,1
member-125,artist_yurumerumo,1
member-126,artist_nekopla_pixx,2
member-126,artist_tenrin,2
member-126,artist_neo_japonism,1
member-126,artist_jiemei,1
member-127,artist_nekopla_pixx,2
member-127,artist_tenrin,2
member-127,artist_neo_japonism,1
member-127,artist_jiemei,1
member-128,artist_nekopla_pixx,2
member-128,artist_tenrin,2
member-128,artist_neo_japonism,1
member-128,artist_jiemei,1
member-129,artist_nekopla_pixx,2
member-129,artist_tenrin,2
member-129,artist_neo_japonism,1
member-129,artist_jiemei,1
member-130,artist_nekopla_pixx,2
member-130,artist_tenrin,2
member-130,artist_neo_japonism,1
member-130,artist_jiemei,1
member-131,artist_appare!,2
member-131,artist_8bit,1
member-131,artist_stainy,1
member-131,artist_zerokara_start,1
member-132,artist_appare!,2
member-132,artist_8bit,1
member-132,artist_stainy,1
member-132,artist_zerokara_start,1
member-133,artist_appare!,2
member-133,artist_8bit,1
member-133,artist_stainy,1
member-133,artist_zerokara_start,1
member-134,artist_stainy,1
member-134,artist_honey_spice_re,1
member-134,artist_niji_no_conquistador,1
member-134,artist_yumemiru_adolescence,1
member-135,artist_stainy,1
member-135,artist_honey_spice_re,1
member-135,artist_niji_no_conquistador,1
member-135,artist_yumemiru_adolescence,1
member-137,artist_fruits_zipper,1
member-137,artist_ilife,1
member-137,artist_cho_tokimeki_sendenbu,1
member-137,artist_yurumerumo,1
member-138,artist_aibeck,2
member-138,artist_tenrin,1
member-138,artist_neo_japonism,1
member-138,artist_81moment,1
member-140,artist_neo_japonism,2
member-140,artist_tenrin,1
member-140,artist_leiwan,1
member-140,artist_aibeck,1
member-141,artist_neo_japonism,2
member-141,artist_tenrin,1
member-141,artist_leiwan,1
member-141,artist_aibeck,1
member-142,artist_neo_japonism,2
member-142,artist_tenrin,1
member-142,artist_leiwan,1
member-142,artist_aibeck,1
member-146,artist_leiwan,1
member-146,artist_neo_japonism,1
member-146,artist_mazari,1
member-146,artist_kamisama_no_iutoori,1
member-146,artist_sect,1
member-147,artist_leiwan,1
member-147,artist_neo_japonism,1
member-147,artist_mazari,1
member-147,artist_kamisama_no_iutoori,1
member-147,artist_sect,1
member-149,artist_misorado_edison,2
member-149,artist_mad_medicine,2
member-149,artist_avam,1
member-149,artist_diavel,1
member-149,artist_higeki_no_heroine_syndrome,1
member-152,artist_misorado_edison,2
member-152,artist_mad_medicine,2
member-152,artist_avam,1
member-152,artist_diavel,1
member-152,artist_higeki_no_heroine_syndrome,1
member-153,artist_cho_denpa_busters,2
member-153,artist_8bit,1
member-153,artist_zerokara_start,1
member-153,artist_zenbukiminoseida,1
member-153,artist_neotokyo_tribe,1
member-154,artist_cho_denpa_busters,2
member-154,artist_8bit,1
member-154,artist_zerokara_start,1
member-154,artist_zenbukiminoseida,1
member-154,artist_neotokyo_tribe,1
member-156,artist_cho_denpa_busters,2
member-156,artist_8bit,1
member-156,artist_zerokara_start,1
member-156,artist_zenbukiminoseida,1
member-156,artist_neotokyo_tribe,1
member-160,artist_babyraids_japan,1
member-160,artist_ilife,1
member-160,artist_shirokyan,1
member-160,artist_chula,1
member-164,artist_wagamama_kiite,1
member-164,artist_nekopla_pixx,1
member-164,artist_jiemei,1
member-165,artist_wagamama_kiite,1
member-165,artist_nekopla_pixx,1
member-165,artist_jiemei,1
member-166,artist_wagamama_kiite,1
member-166,artist_nekopla_pixx,1
member-166,artist_jiemei,1
member-167,artist_bis,2
member-167,artist_reirie,1
member-167,artist_ladybaby,1
member-167,artist_i_to_u_screaming,1
member-167,artist_kiss_kiss,1
member-168,artist_bis,2
member-168,artist_reirie,1
member-168,artist_ladybaby,1
member-168,artist_i_to_u_screaming,1
member-168,artist_kiss_kiss,1
member-169,artist_mercuro,2
member-169,artist_mazari,1
member-170,artist_mercuro,2
member-170,artist_mazari,1
member-171,artist_mercuro,2
member-171,artist_mazari,1
member-172,artist_mercuro,2
member-172,artist_mazari,1
member-173,artist_mercuro,2
member-173,artist_mazari,1
member-175,artist_zettai_chokkyuu_joshi_playballs,2
member-175,artist_devil_anthem,1
member-176,artist_zettai_chokkyuu_joshi_playballs,2
member-176,artist_devil_anthem,1
member-177,artist_tenrin,2
member-177,artist_neo_japonism,1
member-177,artist_jiemei,1
member-177,artist_mercuro,1
member-177,artist_antithese,1
member-178,artist_tenrin,2
member-178,artist_neo_japonism,1
member-178,artist_jiemei,1
member-178,artist_mercuro,1
member-178,artist_antithese,1
member-179,artist_tenrin,2
member-179,artist_neo_japonism,1
member-179,artist_jiemei,1
member-179,artist_mercuro,1
member-179,artist_antithese,1
member-180,artist_tenrin,2
member-180,artist_neo_japonism,1
member-180,artist_jiemei,1
member-180,artist_mercuro,1
member-180,artist_antithese,1
member-181,artist_babababanbi,1
member-181,artist_niji_no_conquistador,1
member-181,artist_shirokyan,2
member-181,artist_akb48,1
member-182,artist_8bit,1
member-182,artist_81moment,1
member-182,artist_planck_stars,1
member-183,artist_chula,1
member-183,artist_yakousei_amuse,1
member-183,artist_babyraids_japan,1
member-186,artist_chula,1
member-186,artist_yakousei_amuse,1
member-186,artist_babyraids_japan,1
member-187,artist_tenrin,1
member-187,artist_avam,1
member-187,artist_mad_medicine,1
member-188,artist_arca,2
member-188,artist_yoroz,1
member-188,artist_miis,1
member-189,artist_arca,2
member-189,artist_yoroz,1
member-189,artist_miis,1
member-190,artist_arca,2
member-190,artist_yoroz,1
member-190,artist_miis,1
member-191,artist_arca,2
member-191,artist_yoroz,1
member-191,artist_miis,1
member-193,artist_ringwanderung,2
member-193,artist_yosugala,2
member-193,artist_situation,1
member-194,artist_ringwanderung,2
member-194,artist_yosugala,2
member-194,artist_situation,1
member-195,artist_ringwanderung,2
member-195,artist_yosugala,2
member-195,artist_situation,1
member-196,artist_yosugala,2
member-196,artist_inuwasi,1
member-197,artist_yosugala,2
member-197,artist_inuwasi,1
member-198,artist_yosugala,2
member-198,artist_inuwasi,1
member-199,artist_yosugala,2
member-199,artist_inuwasi,1
member-200,artist_fes_tive,2
member-200,artist_jya_pon,2
member-200,artist_appare,2
member-200,artist_yurumerumo,1
member-200,artist_8bit,1
member-200,artist_zerokara_start,1
member-200,artist_stainy,1
member-201,artist_fes_tive,2
member-201,artist_jya_pon,2
member-201,artist_appare,2
member-201,artist_yurumerumo,1
member-201,artist_8bit,1
member-201,artist_zerokara_start,1
member-201,artist_stainy,1
member-202,artist_fes_tive,2
member-202,artist_jya_pon,2
member-202,artist_appare,2
member-202,artist_yurumerumo,1
member-202,artist_8bit,1
member-202,artist_zerokara_start,1
member-202,artist_stainy,1
member-203,artist_fes_tive,2
member-203,artist_jya_pon,2
member-203,artist_appare,2
member-203,artist_yurumerumo,1
member-203,artist_8bit,1
member-203,artist_zerokara_start,1
member-203,artist_stainy,1
member-204,artist_kamiyad,2
member-204,artist_cinderella_sengen,2
member-205,artist_kamiyad,2
member-205,artist_cinderella_sengen,2
member-206,artist_kamiyad,2
member-206,artist_cinderella_sengen,2
