id	name	nameKo	nameEn	groupId	xUrl	photoUrl	jpSupport
member-81	ミオン	미온	M1ON	RESTART	https://x.com/RESTARt_M1ON	https://assets.st-note.com/img/1761498840-OLJA1T3KC9gSnMo4hrWP6FVu.jpg?width=1200	unknown
member-82	リユ	리유	RIYU	RESTART	https://x.com/RESTARt_RIYU	https://assets.st-note.com/img/1761498862-maexhHvnd8TjSWABKZ5y49FQ.jpg?width=1200	unknown
member-83	ルビ	루비	RUBY	SOLANIN	https://x.com/solanin_ruby	https://assets.st-note.com/img/1761500157-XrCxzSn0UD6M4ot5FEapByT9.jpg?width=1200	ok
member-84	ツバサ	츠바사	TSUBASA	SOLANIN	https://x.com/solanin_tsub2s2	https://assets.st-note.com/img/1761500192-Nj3Pp5UuIKHLSbzqOAareM7v.jpg?width=1200	some
member-85	ミレ	미래	MIRAE	SOAROVER	https://x.com/SoarOver_Mirae	https://assets.st-note.com/img/1761500247-5xpEPWvXKj21qUThGyBSrdgQ.jpg?width=1200	ok
member-86	リン	린	Lin	SOAROVER	https://x.com/SoarOver_Lin	https://assets.st-note.com/img/1761500269-DXuG03vyFemPK47oLAdQpYWh.jpg?width=1200	unknown
member-87	ノア	노아	Noa	SOAROVER	https://x.com/SoarOver_Noa	https://assets.st-note.com/img/1761500291-jFcsC5PHuNOgldnyXfWDwRI0.jpg?width=1200	ok
member-88	ユアン	유안	uAn	SOAROVER	https://x.com/SoarOver_uAn	https://assets.st-note.com/img/1761500311-fhE30Vud7gqJlLrX6cPFjIxD.jpg?width=1200	unknown
member-89	レエマイ	레에마이	REMA	UGOPOUPEE	https://x.com/UgoPoupee_My	https://assets.st-note.com/img/1761500855-jw943RkTmVnUGCMb0Di5rXFE.jpg?width=1200	unknown
member-90	まいな	마이나	MAINA	UGOPOUPEE	https://x.com/UgoPoupee_maina	https://assets.st-note.com/img/1768899120-Ucz9lDK1oAjt7X0TqeVyOCLw.jpg?width=1200	unknown
member-91	シュン	슌	SHUN	UGOPOUPEE	https://x.com/UgoPoupee_shun	https://assets.st-note.com/img/1768899138-hiCu7qH0bwt3Qk46MEY5UvLG.jpg?width=1200	unknown
member-92	NANA	나나	NANA	UGOPOUPEE	https://x.com/UgoPoupee_nana	https://assets.st-note.com/img/1768899154-uAOqh1xlgnztEeU4akT82Pp5.jpg?width=1200	unknown
member-93	EN	엔	EN	UGOPOUPEE	https://x.com/ENIMUNIDA	https://assets.st-note.com/img/1768899169-m6E1h5R2NpSvHJtlzxaZ0jOg.jpg?width=1200	unknown
member-94	セリ	세리	SERI	WISHLIZ	https://x.com/Seri_WishLiZ	https://assets.st-note.com/img/1761501003-06Rb2vZLDe8wnFtQluNYJ5c4.jpg	unknown
member-95	チョア	초아	CHOA	WISHLIZ	https://x.com/choA_WishLiZ	https://assets.st-note.com/img/1761501025-hwoTSzueB7N284JCOMZgav1U.jpg	unknown
member-96	ヒロ	히로	HIRO	WISHLIZ	https://x.com/HIRO_WishLiZ	https://assets.st-note.com/img/1768907236-qanHM8f6BFT3AYrCh9VkjcOb.jpg	unknown
member-97	ゆき	유키	YUKI	YOZOPURE	https://x.com/YZPR_YUKI	https://assets.st-note.com/img/1761501073-uJZrT2sLHOaGP1KphU0cfk7i.jpg?width=1200	unknown
member-98	ハレ	하레	HARE	YOZOPURE	https://x.com/YZPR_HARE	https://assets.st-note.com/img/1761501094-9lmSrWP5fQI2ZghukxK41DGc.jpg?width=1200	unknown
member-99	エバー	에버	EVER	YOZOPURE	https://x.com/YZPR_EVER	https://assets.st-note.com/img/1761501115-Ded83BX2VskWJrHCpRvLnmGo.jpg?width=1200	unknown
member-100	かな	카나	KANA	YUMEKI	https://x.com/YUMEKi_K4NA	https://assets.st-note.com/img/1761529261-KGExyzXsRALFNPVOid6jS42U.jpg?width=1200	unknown
member-101	きりえ	키리에	KIRIE	YUMEKI	https://x.com/YUMEKi_KIRIE	https://assets.st-note.com/img/1761529288-LuHBjT1m9iaChfPJDOYl5NFk.jpg?width=1200	unknown
member-102	さこ	사코	SAKO	YUMEKI	https://x.com/YUMEKi_SAKO	https://assets.st-note.com/img/1761529307-Txu3LNHwlmW72C1iOcUVGBzM.jpg?width=1200	unknown
member-103	みお	미오	MIO	YUMEKI	https://x.com/YUMEKi_MIO	https://assets.st-note.com/img/1761529325-9HLMD8ZtJ5jvU46Cnu0ORTaz.jpg?width=1200	unknown
member-104	くの	쿠노	KUNO	SHINENNOYUME	https://x.com/kuno_tenshi	https://assets.st-note.com/img/1761530413-sFLKI4wNBqfvrel96R8EzAyV.jpg?width=1200	ok
member-105	ラク	라쿠	RAKU	ZZZ	https://x.com/raku_eskoip	https://assets.st-note.com/img/1761530465-3r0Z4qPO8kjTFVBR5dSMHn2I.jpg?width=1200	unknown
member-106	トモリ	토모리	TOMORI	ZZZ	https://x.com/TOMORI__zzZ	https://assets.st-note.com/img/1761530485-R0IkDK6ZgQbrl5Fa2GwoOTxU.jpg?width=1200	some
member-107	コル	코루	KORU	ZZZ	https://x.com/KORU__zzZ	https://assets.st-note.com/img/1761530502-X73hGAxfTOVvkoQRKpr1tU2H.jpg?width=1200	no
member-108	ワール	와루	WARRIOR	ZZZ	https://x.com/were_warrior	https://assets.st-note.com/img/1761530519-lKWJr7u2XV1R4zULOcI9xeSn.jpg?width=1200	unknown
